group,full_path,product_or_variable,used_by
flor_ctrl,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/ctrl/pi/flor.ctrl.h700.monthly.nc,FLOR ctrl 700 hPa height,700mb_psi
flor_ctrl,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/ctrl/pi/flor.ctrl.u700.monthly.nc,FLOR ctrl 700 hPa U wind,700mb_psi
flor_ctrl,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/ctrl/pi/flor.ctrl.v700.monthly.nc,FLOR ctrl 700 hPa V wind,700mb_psi
flor_ctrl,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/ctrl/pi/flor.ctrl.u925.monthly.nc,FLOR ctrl 925 hPa U wind,slp_gocllj
flor_ctrl,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/ctrl/pi/flor.ctrl.v925.monthly.nc,FLOR ctrl 925 hPa V wind,slp_gocllj
flor_ctrl,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/ctrl/pi/flor.ctrl.slp.monthly.nc,FLOR ctrl sea level pressure,slp_gocllj
flor_ctrl,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/topo_files/flor.ctrl.zsurf.nc,FLOR ctrl ZSURF topography,"all FLOR notebooks, topography"
flor_hitopo,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hitopo/pi/flor.hitopo.precip.monthly.nc,FLOR hitopo PI precip,"flor_pi, flor_2xCO2"
flor_hitopo,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hitopo/2xco2/flor.hitopo.2xco2.precip.monthly.nc,FLOR hitopo 2xCO2 precip,flor_2xCO2
flor_hitopo,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hitopo/pi/flor.hitopo.h500.monthly.nc,FLOR hitopo 500 hPa height,500mb_geopotential
flor_hitopo,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hitopo/pi/flor.hitopo.h700.monthly.nc,FLOR hitopo 700 hPa height,700mb_psi
flor_hitopo,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hitopo/pi/flor.hitopo.u700.monthly.nc,FLOR hitopo 700 hPa U wind,700mb_psi
flor_hitopo,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hitopo/pi/flor.hitopo.v700.monthly.nc,FLOR hitopo 700 hPa V wind,700mb_psi
flor_hitopo,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hitopo/pi/flor.hitopo.u925.monthly.nc,FLOR hitopo 925 hPa U wind,slp_gocllj
flor_hitopo,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hitopo/pi/flor.hitopo.v925.monthly.nc,FLOR hitopo 925 hPa V wind,slp_gocllj
flor_hitopo,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hitopo/pi/flor.hitopo.slp.monthly.nc,FLOR hitopo sea level pressure,slp_gocllj
flor_hitopo,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/topo_files/flor.hitopo.zsurf.nc,FLOR hitopo ZSURF topography,"all FLOR notebooks, topography"
flor_hicam,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hicam/pi/flor.hicam.precip.monthly.nc,FLOR hicam PI precip,flor_pi
flor_hicam,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hicam/pi/flor.hicam.h500.monthly.nc,FLOR hicam 500 hPa height,500mb_geopotential
flor_hicam,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hicam/pi/flor.hicam.h700.monthly.nc,FLOR hicam 700 hPa height,700mb_psi
flor_hicam,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hicam/pi/flor.hicam.u700.monthly.nc,FLOR hicam 700 hPa U wind,700mb_psi
flor_hicam,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/hicam/pi/flor.hicam.v700.monthly.nc,FLOR hicam 700 hPa V wind,700mb_psi
